conquering_cost,filename,total_scores,travelling_cost
1005.0,inputs/23.in,141025.8,140020.8
26.0,inputs/443.in,100.0,74.0
683.0,inputs/552.in,1553.0,870.0
54.0,inputs/72.in,174.0,120.0
22519.0,inputs/412.in,103149.0,80630.0
31.0,inputs/81.in,247.0,216.0
47.0,inputs/630.in,205.0,158.0
96072.0,inputs/661.in,156262.0,60190.0
57.0,inputs/721.in,177.0,120.0
77494564682.0896,inputs/426.in,213021918047.87762,135527353365.78802
46.0,inputs/566.in,238.0,192.0
40.4,inputs/46.in,2660.3999999999996,2619.9999999999995
3314.0,inputs/477.in,35806.0,32492.0
111.0,inputs/537.in,11237.0,11126.0
33.0,inputs/17.in,109.0,76.0
705493.0,inputs/484.in,2118921.0,1413428.0
330.0,inputs/715.in,850993400.0,850993070.0
2104.0,inputs/655.in,4624.0,2520.0
63.0,inputs/595.in,87.0,24.0
171974684210.1804,inputs/604.in,559669249834.2247,387694565624.0444
194.0,inputs/624.in,418.0,224.0
38.0,inputs/95.in,292.0,254.0
1.9872199999999998,inputs/675.in,13.636420000000001,11.6492
540.0,inputs/457.in,900.0,360.0
23.0,inputs/37.in,69.0,46.0
4025388.0,inputs/517.in,4027226.0,1838.0
78.56500000000001,inputs/686.in,219.37300000000005,140.80800000000005
7520196983.609321,inputs/406.in,22274769138.2117,14754572154.60238
104.0,inputs/66.in,296.0,192.0
60.0,inputs/546.in,202.0,142.0
3.0,inputs/641.in,11.0,8.0
26718.0,inputs/490.in,135898.0,109180.0
4861.0,inputs/701.in,15382.605520000001,10521.605520000001
557.0,inputs/581.in,9191.014,8634.014
31713093598.0,inputs/610.in,33416803624.0,1703710026.0
99.00999999999999,inputs/52.in,295.01,196.0
4.0,inputs/572.in,16.0,12.0
15.0,inputs/432.in,61.246700000000004,46.246700000000004
34.0,inputs/523.in,98.0,64.0
838745841.0,inputs/463.in,1138242801.0,299496960.0
5.0,inputs/348.in,23.0,18.0
3690.0,inputs/199.in,15198.0,11508.0
39400.0,inputs/208.in,40988.0,1588.0
48.0,inputs/319.in,236.0,188.0
6.0,inputs/259.in,5616.0,5610.0
860.0,inputs/309.in,2660.0,1800.0
5.0,inputs/218.in,11.0,6.0
48.0,inputs/189.in,17582.00093999999,17534.00093999999
82.0,inputs/358.in,244.0,162.0
1230.0,inputs/473.in,3680.0000000000155,2450.0000000000155
18283.0,inputs/13.in,86833.0,68550.0
0.9478,inputs/533.in,2540.9156000000003,2539.9678000000004
94.0,inputs/422.in,186.0,92.0
624457.3980000003,inputs/42.in,928971.0740000001,304513.67599999986
131001000.0,inputs/562.in,1047001396.0,916000396.0
118869.0,inputs/600.in,201997.0,83128.0
305.0,inputs/591.in,6311.0,6006.0
3023.0,inputs/480.in,4733.0,1710.0
208.0,inputs/651.in,724.0,516.0
3006.0,inputs/76.in,10934.0,7928.0
829.0,inputs/556.in,2107.0017999999995,1278.0017999999995
312.0,inputs/416.in,3498.0,3186.0
481307.0,inputs/27.in,482699.0,1392.0
149.0,inputs/507.in,489.0,340.0
3602.0,inputs/447.in,6588.0,2986.0
44273.0,inputs/665.in,2926327287.0,2926283014.0
417.427,inputs/725.in,1325.859,908.432
330.0,inputs/634.in,850993400.0,850993070.0
3150054.0677,inputs/85.in,4083552441.5813026,4080402387.5136027
512.0,inputs/94.in,1268.0,756.0
194.0,inputs/625.in,418.0,224.0
187.0,inputs/674.in,187.005,0.005
264.0,inputs/456.in,440.0,176.0
8433.0,inputs/687.in,12841.0,4408.0
2012694.0,inputs/516.in,2013612.0,918.0
22.0,inputs/36.in,64.0,42.0
35073133444.48875,inputs/407.in,90715103679.55063,55641970235.061874
132.0,inputs/547.in,350.0,218.0
190.0,inputs/67.in,618.0,428.0
38.0,inputs/640.in,104.0,66.0
2814.0,inputs/700.in,25790.259340000004,22976.259340000004
3168.0,inputs/491.in,21790.0,18622.0
242086380.0,inputs/611.in,393601560.0,151515180.0
1960.04,inputs/580.in,20496.080000000005,18536.040000000005
1526814.9618999998,inputs/573.in,1531848.2590999997,5033.297200000001
46.0,inputs/53.in,136.0,90.0
18.0,inputs/433.in,69.88708,51.887080000000005
98.0,inputs/522.in,190.0,92.0
1483832416.0,inputs/462.in,1595345216.0,111512800.0
5.0,inputs/349.in,23.0,18.0
4700.0,inputs/209.in,5088.0,388.0
84033.0,inputs/198.in,119563.0,35530.0
288.0,inputs/318.in,772.0,484.0
1007033398.0,inputs/258.in,1011110618.0,4077220.0
12490.0,inputs/248.in,29141.347999999994,16651.347999999994
20.15238,inputs/308.in,153.24428,133.0919
935.0,inputs/188.in,1485.0,550.0
330.0,inputs/219.in,522.0,192.0
82.0,inputs/359.in,244.0,162.0
7555.0,inputs/472.in,21043.00000000006,13488.00000000006
0.38269999999999993,inputs/532.in,5314.123299999999,5313.740599999999
10761.0,inputs/12.in,40349.0,29588.0
3294.0,inputs/423.in,11713.0,8419.0
31001000.0,inputs/563.in,247001096.0,216000096.0
1508940.166,inputs/43.in,1839629.44,330689.2740000001
491.0,inputs/590.in,2007.5393999999997,1516.5393999999997
142.76539999999994,inputs/601.in,1016.978000000001,874.212600000001
5056.0,inputs/481.in,7918.0,2862.0
9.0,inputs/710.in,53.0,44.0
3205.5195000000003,inputs/650.in,10220.3659,7014.8464
123.0,inputs/557.in,429.00059999999996,306.00059999999996
325.0,inputs/77.in,1259.0,934.0
3422.0,inputs/417.in,11314.0,7892.0
1.0,inputs/506.in,41.0,40.0
33080017847.0,inputs/26.in,73060057639.0,39980039792.0
5.0,inputs/446.in,25.0,20.0
363191.0,inputs/664.in,3886498013.0,3886134822.0
615.293,inputs/724.in,1981.6440000000002,1366.351
1577335.3459999994,inputs/84.in,143539195.61999995,141961860.27399996
1477.0,inputs/635.in,822735511.0,822734034.0
4052.0,inputs/584.in,13328.0,9276.0
744.0,inputs/615.in,1192.0,448.0
0.00862,inputs/644.in,0.00862,0
31179.419339999982,inputs/495.in,91409.78762000003,60230.36828000005
200.0,inputs/704.in,836428.0,836228.0
3.0,inputs/526.in,35.0,32.0
298.0,inputs/466.in,712.0,414.0
318.0,inputs/57.in,756.0,438.0
69288.0,inputs/577.in,301323.08286,232035.08286000002
40.0,inputs/437.in,80.0,40.0
6423.0,inputs/670.in,16477.0,10054.0
1290.0,inputs/621.in,2566.0,1276.0
400050.0,inputs/90.in,3312406.0800000015,2912356.0800000015
